Each record represents a work of art that was painted by one of the artists in this database and is displayed in one of the museums in this database.  ,https://docs.google.com/spreadsheets/d/e/2PACX-1vSOwzF6ydDZFQflMt7U6VdBjwbj08C02gyESoFjOJ_JW5UBA26gYV8eGwWk51y4h3lH52A35yov7qWN/pub?gid=250719604&single=true&output=csv,"{""top"":10,""left"":116}
",,,,
22991,Breton Women with Parasols,49,653,Symbolism,20,16
22993,Harvest by the Sea,49,653,Symbolism,20,16
23001,Self-Portrait,43,653,Symbolism,16,20
23025,Nymph and Satyr,67,549,Symbolism,24,16
23041,Spring in a Narrow Gorge,55,549,Symbolism,16,24
23057,Cupid Disarmed,55,595,Rococo,36,29
23059,Diana After the Hunt,43,595,Rococo,30,20
23061,Diana Bathing,40,595,Rococo,20,13
23065,Hercules and Omphale,31,595,Rococo,29,36
23071,La Toilette,56,595,Rococo,36,29
23075,Landscape with a Watermill,47,595,Rococo,20,16
23081,Madame Bergeret,46,595,Rococo,13,20
23087,Nymphs Playing the Flute,55,595,Rococo,36,29
23089,Odalisque,40,595,Rococo,36,29
23091,Pan and Syrinx,47,595,Rococo,20,16
23105,River Landscape with an Antique Temple,56,595,Rococo,36,29
23107,River Landscape with Ruin and Bridge,56,595,Rococo,36,29
23109,Schlafende Venus,40,595,Rococo,36,29
23113,Shepherd's Idyll,35,595,Rococo,36,36
23115,Study for a Monument to a Princely Figure,35,595,Rococo,29,36
23117,The Bath of Venus,46,595,Rococo,29,36
23119,The Billet-Doux,47,595,Rococo,20,16
23121,The Bird Catchers,55,595,Rococo,30,24
23123,The Breakfast,40,595,Rococo,36,36
23127,The Forges of Vulcan,40,595,Rococo,36,36
23129,The Fountain of Love,55,595,Rococo,20,20
23137,The Marquise de Pompadour,40,595,Rococo,16,20
23141,The Rape of Europa,40,595,Rococo,20,16
23143,The Toilette of Venus,35,595,Rococo,16,20
23149,Venus Asking Vulcan for Arms for Aeneas,40,595,Rococo,20,30
23151,Venus Consoling Love,46,595,Rococo,24,30
23157,Washerwomen,35,595,Rococo,36,36
23207,A Naval Snow,41,709,,30,24
23211,An East Indiaman in a Fresh Breeze,41,709,,36,24
23213,East Indiamen in a Gale,41,709,,30,30
23215,"Greenland Fishery, English Whalers in the Ice",41,709,,36,24
23217,Ships in a Light Breeze,41,709,,30,30
23219,"The Capture of the Glorioso, 8 October 1747",41,709,,36,24
23225,Calling the Gleaners Home,49,651,Realism,20,10
23249,The Feast of Saint John,67,651,Realism,24,16
23255,The Weeders,35,651,Realism,24,16
23259,A Garden Chair,35,587,Fauvism,16,20
23261,Boats on the Beach at L'Estaque,35,587,Fauvism,20,16
23263,Bottle and Fishes,62,587,Fauvism,20,16
23269,Guitar and Still Life on a Mantelpiece,35,587,Fauvism,16,24
23271,Harbor in Normandy,68,587,Fauvism,20,20
23273,House Behind Trees,35,587,Fauvism,20,16
23283,Man with a Guitar,30,587,Fauvism,16,24
23287,Still Life,35,587,Fauvism,24,16
23289,Still Life with Guitar,35,587,Fauvism,16,24
23291,Still Life with Banderillas,35,587,Fauvism,16,20
23299,The Billiard Table,35,587,Fauvism,16,32
23301,The Studio (Vase Before a Window),35,587,Fauvism,20,16
23307,Woman Carrying a Basket of Fruit,35,587,Fauvism,16,32
23309,Woman Seated at an Easel,35,587,Fauvism,20,16
23311,Woman with a Guitar,30,587,Fauvism,16,24
23313,American Ship and Fishing Port,35,622,,24,16
23317,An Incident of Whaling,35,622,,24,16
23331,Looking Out of Battle Harbor,35,622,,24,16
23335,"Off Greenland, Whaler Seeking Open Water",35,622,,24,16
23337,Ship Trapped in Pack Ice,41,622,,24,16
23339,Shipping Vessel with Ice Floes and Figures,41,622,,24,16
23343,Sunset Glow on Sea and Land,41,622,,24,16
23347,The Coast of Labrador,41,622,,24,16
23349,"The Fisherman's House, Arctic Harbor",35,622,,24,16
23351,The Ice Blockade on the Labrador Coast,41,622,,24,16
23402,Marine Landscape,35,610,American Landscape,48,24
23408,Bacchante with an Ape,55,736,Baroque,19,24
23410,Jacob Reproaching Laban,47,736,Baroque,24,19
23412,Man Playing a Lute,47,736,Baroque,19,24
23414,The Concert,47,736,Baroque,24,19
23420,A Stag Hunt in a Forest,47,575,Baroque,24,19
23422,Landscape with a Nymph and a Satyr,55,575,Baroque,19,24
23426,Mountainous Landscape with Muleteers,47,575,Baroque,24,19
23428,Peasants by a Ruined Aqueduct,47,575,Baroque,19,24
23434,"Admiral Alexander Hood, 1st Viscount Bridport",41,512,,24,30
23436,"Admiral Alexander Hood, 1st Viscount Bridport",41,512,,24,30
23438,Admiral Sir Peter Parker,41,512,,24,36
23440,Captain John Cooke,41,512,,24,30
23442,Rear-Admiral Sir Horatio Nelson,41,512,,24,30
23444,Rear-Admiral Sir Thomas Pasley,41,512,,24,30
23448,Horses at the Porch,34,757,Baroque,20,16
23452,Alof de Vignacourt and His Page,40,870,Baroque,24,36
23466,David and Goliath,50,870,Baroque,29,36
23488,Saint Catherine of Alexandria,56,870,Baroque,24,30
23512,The Crucifixion of Saint Andrew,53,870,Baroque,24,30
23516,The Denial of Saint Peter,35,870,Baroque,24,16
23520,The Fortune Teller,40,870,Baroque,30,24
23528,The Lute Player,35,870,Baroque,30,24
23530,The Musicians,35,870,Baroque,30,24
23542,Birth of Venus,49,501,Classicism,36,24
23544,Echo,35,501,Classicism,24,36
23556,Portrait of Catharine Lorillard Wolfe,35,501,Classicism,24,36
23562,The Governess,67,501,Classicism,29,36
23642,A Vanitas Still Life,47,730,Baroque,30,20
23648,Still Life with a Turkey Pie,43,730,Baroque,20,13
23650,Still Life with Drinking Vessels,47,730,Baroque,19,24
23652,Still Life with Fish,43,730,Baroque,36,24
23656,"Still Life with Herring, Wine and Bread",60,730,Baroque,20,13
23658,Still Life with Salt Tub,43,730,Baroque,20,24
23660,Still Life with a Skull and a Writing Quill,35,730,Baroque,24,16
23664,Admiral Clark Gayton,41,609,American Art,16,20
23670,Daniel Crommelin Verplanck,35,609,American Art,16,20
23672,Ebenezer Storer II,35,609,American Art,16,24
23674,Elizabeth Green (Mrs. Ebenezer Storer II),35,609,American Art,16,24
23676,Elizabeth Greenleaf,35,609,American Art,16,20
23678,Gulian Verplanck,35,609,American Art,16,20
23680,Hugh Hall,35,609,American Art,16,20
23682,John Greenleaf,35,609,American Art,24,30
23684,Joseph Sherburne,35,609,American Art,24,30
23688,Midshipman Augustus Brine,35,609,American Art,16,20
23690,Mrs. Ebenezer Storer (Mary Edwards),35,609,American Art,16,20
23692,Mrs. Edward Green (Mary Storer),35,609,American Art,16,20
23694,Mrs. Jacob Hurd and Child,35,609,American Art,24,30
23696,Mrs. Jerathmael Bowers,35,609,American Art,16,20
23698,Mrs. John Winthrop,35,609,American Art,16,20
23700,Mrs. Sylvanus Bourne,35,609,American Art,16,20
23704,Portrait of a Lady,60,609,American Art,19,24
23706,Portrait of Henry Laurens,46,609,American Art,16,20
23712,Samuel Verplanck,35,609,American Art,16,20
23714,The Death of Major Pierson,62,609,American Art,36,24
23716,The Return of Neptune,35,609,American Art,36,24
23718,Watson and the Shark,35,609,American Art,24,19
23722,A Brook in a Clearing,35,645,Realism,20,16
23728,After the Hunt,35,645,Realism,16,20
23730,Alphonse Promayet,35,645,Realism,16,24
23734,Beach in Normandy,46,645,Realism,36,24
23736,Beach Scene,47,645,Realism,20,13
23740,Bouquet of Flowers in a Vase,55,645,Realism,16,24
23746,Coast Scene,67,645,Realism,24,16
23760,"Jo, The Irish Beauty",35,645,Realism,24,19
23762,The Bretonnerie in the Department of Indre,46,645,Realism,20,16
23764,Landscape,47,645,Realism,20,16
23768,Madame Brayer,35,645,Realism,16,20
23770,Madame Proudhon,49,645,Realism,16,20
23774,"Marine, The Waterspout",35,645,Realism,24,16
23776,Monsieur Suisse,35,645,Realism,16,20
23782,Nude Woman with a Dog,49,645,Realism,24,19
23792,River and Rocks,35,645,Realism,20,16
23794,Rocks Near Ornans,67,645,Realism,20,16
23802,Spanish Woman,67,645,Realism,16,20
23808,Still Life with Apples and a Pear,67,645,Realism,24,16
23810,Still Life with Apples and a Pomegranate,47,645,Realism,20,13
23812,The Calm Sea,35,645,Realism,24,19
23816,The Diligence in the Snow,47,645,Realism,20,13
23818,The Etretat Cliffs After the Storm,67,645,Realism,24,19
23820,The Fishing Boat,35,645,Realism,20,16
23822,The Fringe of the Forest,67,645,Realism,24,19
23824,The Hidden Brook,35,645,Realism,20,16
23826,The Pool,47,645,Realism,19,24
23830,The Source,35,645,Realism,16,24
23838,The Woman in the Waves,35,645,Realism,16,20
23840,The Young Bather,35,645,Realism,16,20
23842,The Young Ladies of the Village,35,645,Realism,32,26
23846,Valley,67,645,Realism,20,16
23850,View of Ornans,35,645,Realism,20,16
23854,Waves,67,645,Realism,24,19
23856,Winter Landscape,67,645,Realism,20,16
23860,Young Ladies on the Bank of the Seine,47,645,Realism,24,19
23863,Salome Receives the Head of Saint John the Baptist,47,870,Baroque,36,29
23868,A Faun and His Family with a Slain Lion,55,885,Renaissance,16,24
23878,Charity,47,885,Renaissance,24,36
23884,Cupid Complaining to Venus,47,885,Renaissance,13,20
23890,"George, Duke of Saxony",55,885,Renaissance,19,24
23912,Judith with the Head of Holofernes,35,885,Renaissance,13,20
23923,Lukas Spielhausen,35,885,Renaissance,13,20
23925,Madonna and Child,46,885,Renaissance,13,20
23933,Martin Luther,35,885,Renaissance,20,30
23937,Nymph at the Source,55,885,Renaissance,36,24
23941,Portrait of a Woman,47,885,Renaissance,16,24
23945,Portrait of Christiane of Eulenau,55,885,Renaissance,16,24
23951,Portrait of Johann Friedrich the Magnanimous,47,885,Renaissance,16,24
23953,Portrait of Johann the Steadfast,47,885,Renaissance,16,20
23979,The Judgment of Paris,35,885,Renaissance,16,24
24001,The Virgin and Child Under an Apple Tree,34,885,Renaissance,20,30
24009,Cypress Trees at Cagnes,49,741,Pointillism,20,16
24011,Evening Breeze,49,741,Pointillism,24,16
24013,La Maison Rose,49,741,Pointillism,20,16
24015,La Plage de Saint-Clair,49,741,Pointillism,20,16
24017,Pines Along the Shore,35,741,Pointillism,24,19
24023,Valley with Fir (Shade on the Mountain),35,741,Pointillism,20,16
24029,A Herdsman with Seven Cows by a River,47,592,Baroque,20,13
24033,A View of the Maas at Dordrecht,55,592,Baroque,24,12
24041,Cattle with Horseman and Peasants,47,592,Baroque,20,16
24043,Children and a Cow,35,592,Baroque,24,19
24047,Lady and Gentleman on Horseback,46,592,Baroque,36,24
24051,Landscape with Cows and Young Herdsman,43,592,Baroque,20,16
24053,Landscape with Herdsman and Cattle,43,592,Baroque,24,24
24059,Mountainous Landscape with the Ruins of a Castle,43,592,Baroque,24,16
24061,Piping Shepherds,35,592,Baroque,24,19
24064,River Landscape with Cows,43,592,Baroque,24,16
24066,River Landscape with Riders,43,592,Baroque,24,16
24068,River Scene,43,592,Baroque,24,19
24072,Starting for the Hunt,35,592,Baroque,24,16
24074,The Maas at Dordrecht,46,592,Baroque,24,16
24084,Young Herdsmen with Cows,35,592,Baroque,24,19
24101,Antoine Singlin,55,797,Baroque,24,24
24103,Cardinal de Richelieu,47,797,Baroque,16,24
24105,Saint Augustine,60,797,Baroque,19,24
24107,The Annunciation,35,797,Baroque,30,30
24109,The Dream of Saint Joseph,47,797,Baroque,16,24
24113,The Last Supper,40,797,Baroque,36,24
24117,Portrait of a Negress,40,838,Neo-Classicism,19,24
24125,"Portrait of John Talbot, Later 1st Earl Talbot",55,583,Rococo,20,30
24127,Portrait of Sir Wyndham Knatchbull-Wyndham,60,583,Rococo,20,30
24129,Portrait of John Scott of Banks Fee,47,583,Rococo,19,24
24131,Portrait of Richard Milles,47,583,Rococo,13,20
24133,The Return of the Prodigal Son,47,583,Rococo,16,24
24145,Geraldine Russell,35,581,Romanticism,24,36
24149,Repose,35,581,Romanticism,30,24
24151,Lady in Black and Green,35,581,Romanticism,24,30
24153,The Gossip,67,581,Romanticism,24,30
24155,The Ring,35,581,Romanticism,24,30
24157,Walt Whitman,35,581,Romanticism,24,30
24161,Arrival of the French Ambassador in Venice,34,561,Rococo,36,24
24171,"Capriccio, Ruins and Classic Buildings",55,561,Rococo,30,24
24235,Piazza San Marco Looking South and West,60,561,Rococo,30,20
24237,"Piazza San Marco, Looking Southeast",46,561,Rococo,36,29
24277,"The Molo, Seen from the Basin of San Marco",40,561,Rococo,36,24
24281,"Venice, Entrance to the Cannaregio",47,561,Rococo,24,16
24283,"Venice, S. Pietro in Castello",47,561,Rococo,24,16
24285,"Venice, S. Simeone Piccolo",47,561,Rococo,24,19
24287,"Venice, The Grand Canal facing Santa Croce",47,561,Rococo,24,19
24289,"Venice, The Piazzetta from the Molo",47,561,Rococo,24,24
24291,View of the Arch of Constantine with the Colosseum,55,561,Rococo,24,16
24325,The Baleful Head,62,913,Neo-Classicism,29,36
24327,The Beguiling of Merlin,62,913,Neo-Classicism,24,36
24343,The Mirror of Venus,62,913,Neo-Classicism,36,24
24357,The Wheel of Fortune,49,913,Neo-Classicism,24,48
24367,Springtime,35,869,Classicism,30,46
24369,The Storm,35,869,Classicism,30,46
24371,Portrait of Master Crosby,67,902,Romanticism,16,20
24375,Stratford Mill,47,902,Romanticism,36,24
24377,The Cornfield,47,902,Romanticism,29,36
24379,The Hay Wain,47,902,Romanticism,36,24
24381,Weymouth Bay,47,902,Romanticism,36,24
24423,The Leap of the Rabbit,68,800,Cubism,20,16
24457,Mary Sylvester,35,796,Rococo,24,30
24461,Mrs. Samuel Cutts,35,796,Rococo,24,30
24463,Portrait of Captain John Pigott,60,796,Rococo,24,30
24465,Portrait of Mrs. John Pigott,60,796,Rococo,24,30
24467,Samuel Cutts,35,796,Rococo,24,30
24483,Four Seasons in One Head,46,830,Renaissance,16,24
24515,A North Sea Breeze on the Dutch Coast,41,530,,24,16
24517,Dutch Yachting on the Zuider Zee,41,530,,24,16
24519,Hay Barge Off Grrenwich,41,530,,24,16
24536,George Washington,35,837,,16,20
24668,Betty Gallowhur (Betty Newell),35,662,Impressionism,30,30
24860,An Opalescent River,35,723,Impressionism,20,16
24948,Woman on the Seashore Morning,34,580,Post-Impressionism,16,20
25471,A Lady and Her Children Relieving a Cottager,67,700,Neo-Classicism,24,19
25485,Fur Traders Descending the Missouri,35,639,Realism,24,19
25499,Bouquet of Flowers on a Ledge,60,777,Rococo,19,24
25501,Flower Still Life,55,777,Rococo,24,19
25503,Interior of a Factory (A Forge),49,540,Classicism,36,29
25505,Cain,49,540,Classicism,36,24
25507,A Landscape with the Judgement of Paris,47,909,Baroque,24,19
25511,A Rocky Landscape with an Ox-cart,47,909,Baroque,30,24
25515,A View on the Tiber,47,909,Baroque,20,16
25517,Landscape with a Draftsman,60,909,Baroque,24,19
25519,Men with an Ox and Cattle by a Pool,47,909,Baroque,24,19
25521,Peasants with Mules and Oxen,47,909,Baroque,20,13
25523,A Lady with a Fan,47,798,Baroque,29,36
25525,An Astronomer,47,798,Baroque,30,30
25527,Lieutenant-Admiral Michiel de Ruyter,41,798,Baroque,29,36
25529,"Admiral of the Fleet, First Earl Beatty",41,845,,24,30
25531,Admiral Sir John Fisher,41,845,,24,36
25533,Ernesta,35,678,Expressionism,16,24
25535,Ernesta (Child with Nurse),35,678,Expressionism,16,20
25537,Mr. and Mrs. Anson Phelps Stokes,35,678,Expressionism,16,24
25539,Sita and Sarita,49,678,Expressionism,16,24
25545,Christ Crowned with Thorns,47,738,Renaissance,19,24
25547,David and Jonathan,47,738,Renaissance,24,24
25549,Saint Jerome in a Landscape,47,738,Renaissance,29,36
25553,The Virgin and Child,47,738,Renaissance,19,24
25575,Boy with a Black Spaniel,47,676,Neo-Classicism,20,24
25579,Le Comte De Vaudreuil,47,676,Neo-Classicism,24,36
25581,Madame De Pompadour at Her Tambour Frame,47,676,Neo-Classicism,13,20
25583,Madame Drouais,40,676,Neo-Classicism,20,24
25593,"The Comte d'Artois and His Sister, Madame Clotilde",40,676,Neo-Classicism,29,36
25595,Charing Cross Bridge,49,694,Fauvism,20,16
25597,"Fishing Boats, Collioure",35,694,Fauvism,40,32
25599,Girl in Black,34,694,Fauvism,16,24
25601,Landscape with a Boat at the Bank,34,694,Fauvism,16,24
25603,Martigues Harbour in Province,34,694,Fauvism,13,20
25605,Moise Kisling,35,694,Fauvism,16,20
25607,Mountain Road,34,694,Fauvism,20,16
25609,Port,34,694,Fauvism,20,16
25611,Portrait of Matisse,62,694,Fauvism,16,20
25613,Road in the Mountains,34,694,Fauvism,20,16
25617,The Palace of Westminster,31,694,Fauvism,20,16
25619,The Pool of London Ship,62,694,Fauvism,24,16
25621,"The Sunken Path, L'Estaque",35,694,Fauvism,16,20
25623,The Table,35,694,Fauvism,20,16
25625,Waterloo Bridge,49,694,Fauvism,20,16
25643,Basket of Flowers,35,834,Romanticism,24,19
25647,Christ Asleep During the Tempest,35,834,Romanticism,24,19
25649,Christ on the Cross,47,834,Romanticism,19,24
25655,Columbus and His Son at La Rabida,46,834,Romanticism,36,29
25659,Woman with Parrot,40,834,Romanticism,30,24
25663,Horses at a Fountain,67,834,Romanticism,36,29
25665,Interior of a Dominican Convent in Madrid,67,834,Romanticism,36,29
25670,Liberty Leading the People,40,834,Romanticism,30,24
25678,Louis-Auguste Schwiter,47,834,Romanticism,16,24
25680,Madame Henri Francois Riesener,35,834,Romanticism,16,20
25682,Moroccan Horseman Crossing a Ford,55,834,Romanticism,16,20
25686,Orphan Girl at the Cemetery,40,834,Romanticism,24,30
25688,Ovid Among the Scythians,35,834,Romanticism,24,16
25692,Self-Portrait,40,834,Romanticism,16,20
25696,Still Life with Flowers and Fruit,67,834,Romanticism,20,16
25700,The Abduction of Rebecca,35,834,Romanticism,29,36
25702,The Education of Achilles,55,834,Romanticism,24,16
25704,The Natchez,35,834,Romanticism,24,20
25708,Circular Forms,61,711,Cubism,24,16
25712,Endless Rhythm,62,711,Cubism,16,20
25718,La Ville de Paris,68,711,Cubism,24,16
25734,Portuguese Woman,56,711,Cubism,20,20
25736,Rhythm No. 1,30,711,Cubism,24,24
25738,Rythmes Sans Fin Exhibition,62,711,Cubism,20,20
25740,Similtaneous Open Windows,62,711,Cubism,16,20
25744,"The Three Windows, the Tower and the Wheel",30,711,Cubism,24,16
25756,Composition in Gray,61,568,,16,24
25762,Composition XX,56,568,,16,24
25772,Simultaneous Counter-Composition,30,568,,20,20
25778,A Poulterer's Shop,47,846,Baroque,19,24
25788,Portrait of a Couple in a Landscape,43,846,Baroque,29,36
25790,Portrait of an Old Woman Reading,43,846,Baroque,16,20
25794,Self-Portrait,43,846,Baroque,16,24
25796,Self-Portrait,43,846,Baroque,16,20
25798,The Night School,43,846,Baroque,29,36
25802,Young Woman Holding a Lamp,43,846,Baroque,20,30
25827,"Portrait of Suzanne Dufy, the Artist's Sister",34,778,Fauvism,16,24
25863,Christ Among the Doctors,56,548,Renaissance,30,24
25869,Lot and His Daughters,46,548,Renaissance,24,30
25871,Madonna and Child (Haller Madonna),46,548,Renaissance,19,24
25873,Penitent Saint Jerome,47,548,Renaissance,16,24
25875,Portrait of a Clergyman,46,548,Renaissance,20,24
25888,Portrait of Durer's Father at 70,47,548,Renaissance,20,24
25904,Self-Portrait with Gloves,50,548,Renaissance,24,30
25906,St. Anne with the Virgin and Child,35,548,Renaissance,19,24
25908,The Virgin and Child (The Madonna with the Iris),47,548,Renaissance,19,24
26013,Artillery,36,576,Fauvism,20,16
26023,Georges de Mire,35,576,Fauvism,16,24
26027,Landscape,67,576,Fauvism,20,16
26037,Man with a Red Kerchief,34,576,Fauvism,16,24
26053,The Bathers,46,576,Fauvism,16,20
26071,The Watering Can,46,576,Fauvism,32,16
26075,A Basket of Roses,47,786,Realism,20,16
26077,Talking it Over,35,835,Realism,30,24
26079,A Studio on the Batignolles,49,786,Realism,36,29
26081,Asters and Fruit on a Table,35,786,Realism,20,20
26085,By the Table,49,786,Realism,36,24
26091,Flowers and Fruit,49,786,Realism,19,24
26095,Flowers and Fruit,49,786,Realism,16,20
26103,Portrait of Mlle C. D,49,786,Realism,16,20
26105,Retrato de M. e Mme Edwards,62,786,Realism,24,30
26109,Roses and Lilies,35,786,Realism,16,20
26111,Still Life,46,786,Realism,20,20
26115,"Still Life, Corner of a Table",68,786,Realism,20,16
26121,Still Life with Flowers,43,786,Realism,16,20
26123,Still Life with Flowers and Fruit,35,786,Realism,16,20
26125,"Still Life with Glass Jug, Fruit and Flowers",47,786,Realism,20,20
26127,Still Life with Pansies,35,786,Realism,20,16
26129,Still Life with Roses and Fruit,35,786,Realism,24,19
26131,Still Life with Roses in a Fluted Vase,67,786,Realism,16,20
26133,Summer Flowers,35,786,Realism,20,16
26135,The Rosy Wealth of June,47,786,Realism,16,20
26143,A Study,40,813,Rococo,20,24
26145,A Woman with a Dog,35,813,Rococo,19,24
26147,Amanti Felici,35,813,Rococo,36,24
26149,Diana and Endymion,46,813,Rococo,24,16
26151,Interior Scene,31,813,Rococo,20,13
26161,Psyche Showing Her Sisters Her Gifts from Cupid,47,813,Rococo,24,19
26163,The Bolt,40,813,Rococo,30,24
26167,The Fountain of Love,55,813,Rococo,16,20
26169,The Happy Mother,35,813,Rococo,30,24
26173,The Love Letter,35,813,Rococo,24,30
26175,The Progress of Love,62,813,Rococo,24,30
26177,The Stolen Kiss,34,813,Rococo,32,26
26179,The Stolen Kiss,35,813,Rococo,32,26
26183,The Swing,46,813,Rococo,16,20
26185,The Two Sisters,35,813,Rococo,24,30
26187,Winter,60,813,Rococo,24,12
26195,Sailing Boats,58,562,Expressionism,24,16
26231,Portrait of Van Abraham de Potter,43,684,Baroque,20,24
26233,The Goldfinch,48,684,Baroque,16,24
26248,Belisarius,55,748,Neo-Classicism,19,24
26262,Madame Barbier-Walbonne,40,748,Neo-Classicism,20,24
26270,Napoleon Ier en Costume du Sacre,34,748,Neo-Classicism,30,46
26272,Portrait of Antonia Canova,40,748,Neo-Classicism,20,24
26276,Portrait of Charles X of France,35,748,Neo-Classicism,30,46
26278,Portrait of Jacques MacDonald,34,748,Neo-Classicism,24,30
26280,Portrait of Josephine,34,748,Neo-Classicism,24,24
26290,Portrait of Russian Emperor Alexander I,34,748,Neo-Classicism,24,36
26298,Psyche Receiving the First Kiss of Love,40,748,Neo-Classicism,20,30
26300,A Caprice with a Ruined Arch,47,900,Rococo,20,24
26302,A Caprice with Ruins on the Seashore,47,900,Rococo,20,30
26304,A Gondola on the Lagoon Near Mestre,47,900,Rococo,30,20
26306,A View Near Venice,47,900,Rococo,30,20
26308,An Architectural Caprice,47,900,Rococo,20,30
26310,An Architectural Caprice,47,900,Rococo,20,24
26312,Capriccio,35,900,Rococo,20,24
26314,Capriccio,67,900,Rococo,20,24
26316,Piazza San Marco,35,900,Rococo,24,20
26318,The Antechamber of the Sala del Maggior Consiglio,35,900,Rococo,36,24
26320,The Grand Canal Above the Rialto,35,900,Rococo,30,20
26322,The Grand Canal in Venice with Palazzo Bembo,55,900,Rococo,24,16
26326,The Ridotto Pubblico at Palazzo Dandolo,35,900,Rococo,30,20
26328,"Venice, Entrance to the Cannaregio",47,900,Rococo,30,20
26330,Venice From the Bacino di San Marco,35,900,Rococo,24,20
26332,"Venice, Piazza San Marco",47,900,Rococo,30,20
26334,"Venice, Piazza San Marco",47,900,Rococo,36,24
26336,"Venice, The Arsenal",47,900,Rococo,30,20
26340,"Venice, The Doges Palace and The Molo",47,900,Rococo,24,20
26342,"Venice, The Giudecca with the Zitelle",47,900,Rococo,24,20
26344,"Venice, The Grand Canal with Palazzo Pesaro",47,900,Rococo,30,20
26346,"Venice, The Punta Della Dogana",47,900,Rococo,30,24
26348,"Venice, The Punta Della Dogana",47,900,Rococo,20,16
26368,A Child with an Apple,47,539,Neo-Classicism,16,20
26370,A Girl,47,539,Neo-Classicism,16,20
26372,A Girl,47,539,Neo-Classicism,16,20
26376,A Young Peasant Boy,35,539,Neo-Classicism,16,20
26378,Aegina Visited by Jupiter,35,539,Neo-Classicism,36,29
26380,Broken Eggs,35,539,Neo-Classicism,36,29
26382,"Charles Claude de Flahaut, Comte d'Angiviller",35,539,Neo-Classicism,19,24
26384,Cimon and Pero (Roman Charity),55,539,Neo-Classicism,24,19
26388,Etienne Jeurat,47,539,Neo-Classicism,16,20
26390,Head of a Young Woman,35,539,Neo-Classicism,16,20
26396,Madame Jean-Baptiste Nicolet,35,539,Neo-Classicism,24,30
26398,Portrait of a Man,47,539,Neo-Classicism,24,30
26406,The Laundress (La Blanchisseuse),55,539,Neo-Classicism,24,30
26408,The Spoiled Child,34,539,Neo-Classicism,24,30
26448,A Horse Frightened by Lightning,47,673,Romanticism,20,16
26458,Mounted Trumpeters of Napoleon's Imperial Guard,46,673,Romanticism,19,24
26460,Nude Warrior with a Spear,46,673,Romanticism,29,36
26462,Officer of the Hussars,40,673,Romanticism,19,24
26466,Study of a Model,55,673,Romanticism,16,20
26468,The Race of the Riderless Horses,55,673,Romanticism,36,24
26470,The Woman with Gambling Mania,40,673,Romanticism,16,20
26472,Three Lovers,55,673,Romanticism,24,19
26490,"A Couple Playing Cards, with a Serving Woman",35,749,Baroque,26,32
26494,A Musical Party in a Courtyard,47,749,Baroque,29,36
26496,A Woman and Her Maid in a Courtyard,47,749,Baroque,26,32
26498,A Woman and Two Men in an Arbor,35,749,Baroque,26,32
26500,A Woman Drinking with Two Men,47,749,Baroque,19,24
26502,A Woman Preparing Bread and Butter for a Boy,55,749,Baroque,24,30
26504,Interior with a Young Couple,35,749,Baroque,32,26
26506,Leisure Time in an Elegant Setting,35,749,Baroque,36,29
26508,Party,67,749,Baroque,36,29
26510,Paying the Hostess,35,749,Baroque,36,29
26512,The Courtyard of a House in Delft,47,749,Baroque,26,32
26515,The Visit,35,749,Baroque,29,36
26517,Two Soldiers and a Woman Drinking,46,749,Baroque,29,36
26521,"Girgenti, The Temple of Juno Lacinia at Agrigentum",35,716,,36,24
26523,"Santa Maria Della Salute, Sunset",35,716,,36,24
26525,"Sette Sale, Villa Brancaccio, Rome",35,716,,36,24
26527,Vahrn in Tyrol Near Brixen,35,716,,36,24
26539,Christ Before the High Priest,47,832,Baroque,16,24
26541,Christ Crowned with Thorns,55,832,Baroque,24,30
26543,"Elizabeth Stuart, Queen of Bohemia",47,832,Baroque,16,24
26545,Musical Group on a Balcony,55,832,Baroque,20,30
26547,Saint Sebastian,47,832,Baroque,24,19
26561,Banquet Piece with Mince Pie,46,806,Baroque,24,24
26563,Breakfast Piece,50,806,Baroque,30,20
26571,Pewter and Silver Vessels and a Crab,47,806,Baroque,30,20
26577,Still Life with a Gilt Cup,43,806,Baroque,20,16
26579,Still Life with a Lobster,47,806,Baroque,24,24
26581,Still Life with a Nautilus Cup,47,806,Baroque,24,20
26585,"Still Life with Tobacco, Wine and a Pocket Watch",60,806,Baroque,24,20
26593,A Family Group in a Landscape,47,732,Baroque,30,20
26595,Adriaen Van Ostade,46,732,Baroque,24,30
26599,Boy with a Lute,35,732,Baroque,19,24
26603,Buffoon Playing a Lute,43,732,Baroque,20,20
26605,Claes Duyst Van Voorhout,35,732,Baroque,20,24
26607,Feyntje Van Steenkiste,43,732,Baroque,16,20
26611,Jonker Ramp and His Sweetheart,35,732,Baroque,19,24
26613,Malle Babbe,35,732,Baroque,20,24
26619,Merrymakers at Shrovetide,35,732,Baroque,19,24
26621,Paulus Verschuur,35,732,Baroque,20,24
26631,Portrait of a Gentlemen,47,732,Baroque,20,30
26633,Portrait of a Man,40,732,Baroque,20,24
26639,Portrait of a Man,46,732,Baroque,20,24
26641,Portrait of a Man Holding Gloves,47,732,Baroque,20,24
26643,Portrait of a Man in His Thirties,47,732,Baroque,19,24
26645,"Portrait of a Man, Possibly Nicolaes Hasselaer",43,732,Baroque,16,20
26647,Portrait of a Member of the Haarlem Civic Guard,46,732,Baroque,20,24
